순위	빈도	항목	범주
132	268	다니	종
233	2	다니까	연
168	92	다니까	종
224	11	다니께	종
234	1	다던데	종
234	1	다레	종
233	2	다마	종
230	5	다마는	연
230	5	다마다	종
227	8	다만	연
234	1	다만서도	연
220	15	다며	연
215	20	다며	종
63	1667	다면	연
231	4	다면서	연
211	24	다면서	종
234	1	다면서요	종
229	6	다손	연
145	178	다시피	연
220	15	다오	종
232	3	다요	종
233	2	다우	종
229	6	다이	종
234	1	다죠	종
226	9	다지	종
234	1	다지만	연
233	2	닥카이	종
234	1	단	연
154	140	단다	종
228	7	담	종
234	1	담사	연
234	1	담서	종
232	3	답니까	종
137	218	답니다	종
234	1	답디까	종
233	2	당가	종
230	5	당께	종
223	12	대	종
224	11	대요	종
234	1	댔자	연
118	407	더	선
234	1	더	연
233	2	더	종
188	55	더구나	종
233	2	더구만	종
222	13	더구먼	종
136	222	더군	종
196	41	더냐	종
74	1146	더니	연
223	12	더니	종
228	7	더니라	종
234	1	더니마는	연
205	30	더니만	연
111	451	더라	종
234	1	더라고	연
215	20	더라고	종
232	3	더라나	종
233	2	더라니	종
223	12	더라니까	종
77	1075	더라도	연
163	111	더라면	연
234	1	더라면서	종
234	1	더라야	종
234	1	더랑게	종
234	1	더랑이까	종
234	1	더래도	연
234	1	더만	연
233	2	더만	종
234	1	더면	연
234	1	더이	종
229	6	더이다	종
19	13325	던	관
233	2	던	연
201	34	던	종
116	413	던가	종
230	5	던걸	종
232	3	던고	종
178	71	던데	연
176	76	던데	종
227	8	던들	연
158	127	던지	연
228	7	던지	종
232	3	던지라	연
229	6	덜	연
232	3	데	연
201	34	데	종
229	6	데이	종
207	28	도	연
233	2	도	종
210	25	도다	종
45	2871	도록	연
226	9	도록	종
142	196	되	연
234	1	두	연
233	2	드끼	연
233	2	드나	종
234	1	드냐	종
234	1	드니	연
231	4	드라	종
234	1	드라고	연
233	2	드라고	종
233	2	드라도	연
234	1	드라우	종
234	1	드만	연
234	1	드만	종
233	2	든	관
112	442	든	연
234	1	든	종
150	152	든가	연
226	9	든가	종
134	247	든지	연
232	3	든지	종
234	1	들	연
75	1132	듯	연
233	2	듯끼	연
86	830	듯이	연
